id,name,mesh_name,x,y,z,side,direct_mesh,region,bone_type,bilateral_partner,group_representative,name_alternates,wikipedia
frontal-bone,Frontal bone,Frontal bone,0.00,164.87,5.38,midline,true,skull,bone,,,Forehead bone,Frontal_bone
parietal-bone-right,Parietal bone (right),Parietal bone right,-3.50,164.77,-2.97,right,true,skull,bone,parietal-bone-left,,Side of skull,Parietal_bone
parietal-bone-left,Parietal bone (left),Parietal bone left,3.49,164.73,-2.96,left,true,skull,bone,parietal-bone-right,,Side of skull,Parietal_bone
occipital-bone,Occipital bone,Occipital bone,0.02,160.32,-4.55,midline,true,skull,bone,,,Back of skull,Occipital_bone
ethmoid-bone,Ethmoid bone,Ethmoid Bone,0.00,159.25,5.89,midline,true,skull,bone,,,,Ethmoid_bone
sphenoid-bone,Sphenoid bone,Sphenoid bone,0.00,158.48,2.81,midline,true,skull,bone,,,,Sphenoid_bone
vomer,Vomer,Vomer,-0.01,157.15,4.64,midline,true,skull,bone,,,,Vomer
mandible,Mandible,Mandible bone,0.00,154.13,4.39,midline,true,skull,bone,,,Jaw|Jawbone,Mandible_(anatomy)
temporal-bone-right,Temporal bone (right),Temporal bone.r,-4.20,158.62,-0.29,right,true,skull,bone,temporal-bone-left,,Temple bone,Temporal_bone
temporal-bone-left,Temporal bone (left),Temporal bone.r,4.20,158.62,-0.29,left,false,skull,bone,temporal-bone-right,,Temple bone,Temporal_bone
zygomatic-bone-right,Zygomatic bone (right),Zygomatic bone.r,-4.65,158.56,5.21,right,true,skull,bone,zygomatic-bone-left,,Cheekbone|Cheek bone|Malar bone,Zygomatic_bone
zygomatic-bone-left,Zygomatic bone (left),Zygomatic bone.r,4.65,158.56,5.21,left,false,skull,bone,zygomatic-bone-right,,Cheekbone|Cheek bone|Malar bone,Zygomatic_bone
nasal-bone-right,Nasal bone (right),Nasal bone.r,-0.41,159.22,9.01,right,true,skull,bone,nasal-bone-left,,Nose bone,Nasal_bone
nasal-bone-left,Nasal bone (left),Nasal bone.r,0.41,159.22,9.01,left,false,skull,bone,nasal-bone-right,,Nose bone,Nasal_bone
lacrimal-bone-right,Lacrimal bone (right),Lacrimal bone.r,-1.22,158.94,6.98,right,true,skull,bone,lacrimal-bone-left,,,Lacrimal_bone
lacrimal-bone-left,Lacrimal bone (left),Lacrimal bone.r,1.22,158.94,6.98,left,false,skull,bone,lacrimal-bone-right,,,Lacrimal_bone
maxilla-right,Maxilla (right),Maxilla bone.r,-2.25,157.43,6.64,right,true,skull,bone,maxilla-left,,Upper jaw|Upper jawbone,Maxilla
maxilla-left,Maxilla (left),Maxilla bone.r,2.25,157.43,6.64,left,false,skull,bone,maxilla-right,,Upper jaw|Upper jawbone,Maxilla
palatine-bone-right,Palatine bone (right),Palatine bone.r,-1.34,157.28,4.09,right,true,skull,bone,palatine-bone-left,,,Palatine_bone
palatine-bone-left,Palatine bone (left),Palatine bone.r,1.34,157.28,4.09,left,false,skull,bone,palatine-bone-right,,,Palatine_bone
inferior-nasal-concha-right,Inferior nasal concha (right),Inferior nasal concha bone.r,-1.10,157.23,5.98,right,true,skull,bone,inferior-nasal-concha-left,,,Inferior_nasal_concha
inferior-nasal-concha-left,Inferior nasal concha (left),Inferior nasal concha bone.r,1.10,157.23,5.98,left,false,skull,bone,inferior-nasal-concha-right,,,Inferior_nasal_concha
upper-medial-incisor-right,Upper medial incisor (right),Upper medial incisor.r,-0.44,154.64,8.69,right,true,skull,teeth,upper-medial-incisor-left,,,Incisor
upper-medial-incisor-left,Upper medial incisor (left),Upper medial incisor.r,0.44,154.64,8.69,left,false,skull,teeth,upper-medial-incisor-right,,,Incisor
upper-lateral-incisor-right,Upper lateral incisor (right),Upper lateral incisor.r,-1.12,154.70,8.46,right,true,skull,teeth,upper-lateral-incisor-left,,,Incisor
upper-lateral-incisor-left,Upper lateral incisor (left),Upper lateral incisor.r,1.12,154.70,8.46,left,false,skull,teeth,upper-lateral-incisor-right,,,Incisor
upper-canine-right,Upper canine (right),Upper canine.r,-1.70,154.97,8.14,right,true,skull,teeth,upper-canine-left,,,Canine_(tooth)
upper-canine-left,Upper canine (left),Upper canine.r,1.70,154.97,8.14,left,false,skull,teeth,upper-canine-right,,,Canine_(tooth)
upper-first-premolar-right,Upper first premolar (right),Upper first premolar.r,-2.01,154.98,7.39,right,true,skull,teeth,upper-first-premolar-left,,,Premolar
upper-first-premolar-left,Upper first premolar (left),Upper first premolar.r,2.01,154.98,7.39,left,false,skull,teeth,upper-first-premolar-right,,,Premolar
upper-second-premolar-right,Upper second premolar (right),Upper second premolar.r,-2.31,154.96,6.78,right,true,skull,teeth,upper-second-premolar-left,,,Premolar
upper-second-premolar-left,Upper second premolar (left),Upper second premolar.r,2.31,154.96,6.78,left,false,skull,teeth,upper-second-premolar-right,,,Premolar
upper-first-molar-right,Upper first molar (right),Upper first molar tooth.r,-2.41,155.08,5.92,right,true,skull,teeth,upper-first-molar-left,,,Molar_(tooth)
upper-first-molar-left,Upper first molar (left),Upper first molar tooth.r,2.41,155.08,5.92,left,false,skull,teeth,upper-first-molar-right,,,Molar_(tooth)
upper-second-molar-right,Upper second molar (right),Upper second molar tooth.r,-2.37,155.34,5.07,right,true,skull,teeth,upper-second-molar-left,,,Molar_(tooth)
upper-second-molar-left,Upper second molar (left),Upper second molar tooth.r,2.37,155.34,5.07,left,false,skull,teeth,upper-second-molar-right,,,Molar_(tooth)
lower-medial-incisor-right,Lower medial incisor (right),Lower medial incisor.r,-0.32,152.23,7.97,right,true,skull,teeth,lower-medial-incisor-left,,,Incisor
lower-medial-incisor-left,Lower medial incisor (left),Lower medial incisor.r,0.32,152.23,7.97,left,false,skull,teeth,lower-medial-incisor-right,,,Incisor
lower-lateral-incisor-right,Lower lateral incisor (right),Lower lateral incisor.r,-0.80,152.24,7.96,right,true,skull,teeth,lower-lateral-incisor-left,,,Incisor
lower-lateral-incisor-left,Lower lateral incisor (left),Lower lateral incisor.r,0.80,152.24,7.96,left,false,skull,teeth,lower-lateral-incisor-right,,,Incisor
lower-canine-right,Lower canine (right),Lower canine.r,-1.28,152.19,7.63,right,true,skull,teeth,lower-canine-left,,,Canine_(tooth)
lower-canine-left,Lower canine (left),Lower canine.r,1.28,152.19,7.63,left,false,skull,teeth,lower-canine-right,,,Canine_(tooth)
lower-first-premolar-right,Lower first premolar (right),Lower first premolar.r,-1.69,152.47,7.08,right,true,skull,teeth,lower-first-premolar-left,,,Premolar
lower-first-premolar-left,Lower first premolar (left),Lower first premolar.r,1.69,152.47,7.08,left,false,skull,teeth,lower-first-premolar-right,,,Premolar
lower-second-premolar-right,Lower second premolar (right),Lower second premolar.r,-1.99,152.56,6.45,right,true,skull,teeth,lower-second-premolar-left,,,Premolar
lower-second-premolar-left,Lower second premolar (left),Lower second premolar.r,1.99,152.56,6.45,left,false,skull,teeth,lower-second-premolar-right,,,Premolar
lower-first-molar-right,Lower first molar (right),Lower first molar tooth.r,-2.26,153.02,5.73,right,true,skull,teeth,lower-first-molar-left,,,Molar_(tooth)
lower-first-molar-left,Lower first molar (left),Lower first molar tooth.r,2.26,153.02,5.73,left,false,skull,teeth,lower-first-molar-right,,,Molar_(tooth)
lower-second-molar-right,Lower second molar (right),Lower second molar tooth.r,-2.62,153.49,4.57,right,true,skull,teeth,lower-second-molar-left,,,Molar_(tooth)
lower-second-molar-left,Lower second molar (left),Lower second molar tooth.r,2.62,153.49,4.57,left,false,skull,teeth,lower-second-molar-right,,,Molar_(tooth)
atlas-c1,Atlas (C1),Atlas (C1),-0.00,154.28,-2.11,midline,true,torso,bone,,atlas-c1,First cervical vertebra|C1 vertebra,Atlas
axis-c2,Axis (C2),Axis (C2),0.00,153.02,-2.56,midline,true,torso,bone,,atlas-c1,Second cervical vertebra|C2 vertebra,Axis
cervical-vertebra-c3,Cervical vertebra (C3),Cervical vertebrae (C3),-0.00,150.60,-2.54,midline,true,torso,bone,,atlas-c1,,Cervical_vertebra
cervical-vertebra-c4,Cervical vertebra (C4),Cervical vertebrae (C4),0.00,149.27,-2.67,midline,true,torso,bone,,atlas-c1,,Cervical_vertebra
cervical-vertebra-c5,Cervical vertebra (C5),Cervical vertebrae (C5),0.00,147.95,-2.99,midline,true,torso,bone,,atlas-c1,,Cervical_vertebra
cervical-vertebra-c6,Cervical vertebra (C6),Cervical vertebrae (C6),0.00,146.58,-3.48,midline,true,torso,bone,,atlas-c1,,Cervical_vertebra
cervical-vertebra-c7,Cervical vertebra (C7),Cervical vertebrae (C7),0.00,145.19,-4.20,midline,true,torso,bone,,atlas-c1,,Cervical_vertebra
thoracic-vertebra-t1,Thoracic vertebra (T1),Thoracic vertebrae (T1),0.00,143.80,-4.81,midline,true,torso,bone,,thoracic-vertebra-t1,,Thoracic_vertebra
thoracic-vertebra-t2,Thoracic vertebra (T2),Thoracic vertebrae (T2),0.00,142.00,-5.37,midline,true,torso,bone,,thoracic-vertebra-t1,,Thoracic_vertebra
thoracic-vertebra-t3,Thoracic vertebra (T3),Thoracic vertebrae (T3),0.00,139.86,-6.19,midline,true,torso,bone,,thoracic-vertebra-t1,,Thoracic_vertebra
thoracic-vertebra-t4,Thoracic vertebra (T4),Thoracic vertebrae (T4),0.00,137.52,-6.55,midline,true,torso,bone,,thoracic-vertebra-t1,,Thoracic_vertebra
thoracic-vertebra-t5,Thoracic vertebra (T5),Thoracic vertebrae (T5),-0.00,134.76,-6.64,midline,true,torso,bone,,thoracic-vertebra-t1,,Thoracic_vertebra
thoracic-vertebra-t6,Thoracic vertebra (T6),Thoracic vertebrae (T6),-0.00,131.44,-6.68,midline,true,torso,bone,,thoracic-vertebra-t1,,Thoracic_vertebra
thoracic-vertebra-t7,Thoracic vertebra (T7),Thoracic vertebrae (T7),0.00,128.67,-6.48,midline,true,torso,bone,,thoracic-vertebra-t1,,Thoracic_vertebra
thoracic-vertebra-t8,Thoracic vertebra (T8),Thoracic vertebrae (T8),0.00,125.61,-6.39,midline,true,torso,bone,,thoracic-vertebra-t1,,Thoracic_vertebra
thoracic-vertebra-t9,Thoracic vertebra (T9),Thoracic vertebrae (T9),0.00,122.85,-5.86,midline,true,torso,bone,,thoracic-vertebra-t1,,Thoracic_vertebra
thoracic-vertebra-t10,Thoracic vertebra (T10),Thoracic vertebrae (T10),0.00,119.77,-5.34,midline,true,torso,bone,,thoracic-vertebra-t1,,Thoracic_vertebra
thoracic-vertebra-t11,Thoracic vertebra (T11),Thoracic vertebrae (T11),0.00,116.96,-4.49,midline,true,torso,bone,,thoracic-vertebra-t1,,Thoracic_vertebra
thoracic-vertebra-t12,Thoracic vertebra (T12),Thoracic vertebrae (T12),-0.00,113.93,-3.65,midline,true,torso,bone,,thoracic-vertebra-t1,,Thoracic_vertebra
lumbar-vertebra-l1,Lumbar vertebra (L1),Lumbar vertebrae (L1),0.00,110.41,-2.92,midline,true,torso,bone,,lumbar-vertebra-l1,,Lumbar_vertebra
lumbar-vertebra-l2,Lumbar vertebra (L2),Lumbar vertebrae (L2),0.00,107.48,-2.38,midline,true,torso,bone,,lumbar-vertebra-l1,,Lumbar_vertebra
lumbar-vertebra-l3,Lumbar vertebra (L3),Lumbar vertebrae (L3),0.00,104.34,-2.31,midline,true,torso,bone,,lumbar-vertebra-l1,,Lumbar_vertebra
lumbar-vertebra-l4,Lumbar vertebra (L4),Lumbar vertebrae (L4),-0.00,101.51,-2.40,midline,true,torso,bone,,lumbar-vertebra-l1,,Lumbar_vertebra
lumbar-vertebra-l5,Lumbar vertebra (L5),Lumbar vertebrae (L5),-0.00,98.26,-2.88,midline,true,torso,bone,,lumbar-vertebra-l1,,Lumbar_vertebra
sacrum,Sacrum,Sacrum,-0.00,92.34,-4.98,midline,true,torso,bone,,,Sacred bone,Sacrum
coccyx,Coccyx,Coccyx,-0.01,84.58,-7.62,midline,true,torso,bone,,,Tailbone,Coccyx
manubrium,Manubrium,Manubrium of sternum,0.01,137.76,5.75,midline,true,torso,bone,,,Upper sternum,Manubrium
body-of-sternum,Body of sternum,Body of sternum,-0.00,129.88,9.08,midline,true,torso,bone,,,Sternum|Breastbone,Body_of_sternum
rib-1-right,Rib 1 (right),Rib (1st).r,-4.40,141.69,0.15,right,true,torso,bone,rib-1-left,rib-1-right,,Rib_1
rib-1-left,Rib 1 (left),Rib (1st).r,4.40,141.69,0.15,left,false,torso,bone,rib-1-right,rib-1-right,,Rib_1
rib-2-right,Rib 2 (right),Rib (2nd).r,-5.79,139.07,0.83,right,true,torso,bone,rib-2-left,rib-1-right,,Rib_bones
rib-2-left,Rib 2 (left),Rib (2nd).r,5.79,139.07,0.83,left,false,torso,bone,rib-2-right,rib-1-right,,Rib_bones
rib-3-right,Rib 3 (right),Rib (3rd).r,-6.43,136.36,0.67,right,true,torso,bone,rib-3-left,rib-1-right,,Rib_bones
rib-3-left,Rib 3 (left),Rib (3rd).r,6.43,136.36,0.67,left,false,torso,bone,rib-3-right,rib-1-right,,Rib_bones
rib-4-right,Rib 4 (right),Rib (4th).r,-7.01,133.62,0.76,right,true,torso,bone,rib-4-left,rib-1-right,,Rib_bones
rib-4-left,Rib 4 (left),Rib (4th).r,7.01,133.62,0.76,left,false,torso,bone,rib-4-right,rib-1-right,,Rib_bones
rib-5-right,Rib 5 (right),Rib (5th).r,-7.34,130.50,0.74,right,true,torso,bone,rib-5-left,rib-1-right,,Rib_bones
rib-5-left,Rib 5 (left),Rib (5th).r,7.34,130.50,0.74,left,false,torso,bone,rib-5-right,rib-1-right,,Rib_bones
rib-6-right,Rib 6 (right),Rib (6th).r,-7.68,127.51,0.06,right,true,torso,bone,rib-6-left,rib-1-right,,Rib_bones
rib-6-left,Rib 6 (left),Rib (6th).r,7.68,127.51,0.06,left,false,torso,bone,rib-6-right,rib-1-right,,Rib_bones
rib-7-right,Rib 7 (right),Rib (7th).r,-7.89,124.36,-0.58,right,true,torso,bone,rib-7-left,rib-1-right,,Rib_bones
rib-7-left,Rib 7 (left),Rib (7th).r,7.89,124.36,-0.58,left,false,torso,bone,rib-7-right,rib-1-right,,Rib_bones
rib-8-right,Rib 8 (right),Rib (8th).r,-7.59,121.16,-1.47,right,true,torso,bone,rib-8-left,rib-1-right,,Rib_bones
rib-8-left,Rib 8 (left),Rib (8th).r,7.59,121.16,-1.47,left,false,torso,bone,rib-8-right,rib-1-right,,Rib_bones
rib-9-right,Rib 9 (right),Rib (9th).r,-7.52,118.21,-2.68,right,true,torso,bone,rib-9-left,rib-1-right,,Rib_bones
rib-9-left,Rib 9 (left),Rib (9th).r,7.52,118.21,-2.68,left,false,torso,bone,rib-9-right,rib-1-right,,Rib_bones
rib-10-right,Rib 10 (right),Rib (10th).r,-7.42,115.14,-3.04,right,true,torso,bone,rib-10-left,rib-1-right,,Rib_bones
rib-10-left,Rib 10 (left),Rib (10th).r,7.42,115.14,-3.04,left,false,torso,bone,rib-10-right,rib-1-right,,Rib_bones
rib-11-right,Rib 11 (right),Rib (11th).r,-6.99,112.48,-3.84,right,true,torso,bone,rib-11-left,rib-1-right,,Rib_bones
rib-11-left,Rib 11 (left),Rib (11th).r,6.99,112.48,-3.84,left,false,torso,bone,rib-11-right,rib-1-right,,Rib_bones
rib-12-right,Rib 12 (right),Rib (12th).r,-5.36,110.54,-4.51,right,true,torso,bone,rib-12-left,rib-1-right,,Rib_bones
rib-12-left,Rib 12 (left),Rib (12th).r,5.36,110.54,-4.51,left,false,torso,bone,rib-12-right,rib-1-right,,Rib_bones
costal-cartilage-of-rib-1-right,Costal cartilage of rib 1 (right),Costal cart of 1st rib.r,-3.92,138.77,4.00,right,true,torso,costal_cartilage,costal-cartilage-of-rib-1-left,costal-cartilage-of-rib-1-right,,Costal_cartilage
costal-cartilage-of-rib-1-left,Costal cartilage of rib 1 (left),Costal cart of 1st rib.r,3.92,138.77,4.00,left,false,torso,costal_cartilage,costal-cartilage-of-rib-1-right,costal-cartilage-of-rib-1-right,,Costal_cartilage
costal-cartilage-of-rib-2-right,Costal cartilage of rib 2 (right),Costal cart of 2nd rib.r,-2.90,135.14,6.95,right,true,torso,costal_cartilage,costal-cartilage-of-rib-2-left,costal-cartilage-of-rib-1-right,,Costal_cartilage
costal-cartilage-of-rib-2-left,Costal cartilage of rib 2 (left),Costal cart of 2nd rib.r,2.90,135.14,6.95,left,false,torso,costal_cartilage,costal-cartilage-of-rib-2-right,costal-cartilage-of-rib-1-right,,Costal_cartilage
costal-cartilage-of-rib-3-right,Costal cartilage of rib 3 (right),Costal cart of 3rd rib.r,-3.47,132.00,7.99,right,true,torso,costal_cartilage,costal-cartilage-of-rib-3-left,costal-cartilage-of-rib-1-right,,Costal_cartilage
costal-cartilage-of-rib-3-left,Costal cartilage of rib 3 (left),Costal cart of 3rd rib.r,3.47,132.00,7.99,left,false,torso,costal_cartilage,costal-cartilage-of-rib-3-right,costal-cartilage-of-rib-1-right,,Costal_cartilage
costal-cartilage-of-rib-4-right,Costal cartilage of rib 4 (right),Costal cart of 4th rib.r,-4.41,129.11,9.08,right,true,torso,costal_cartilage,costal-cartilage-of-rib-4-left,costal-cartilage-of-rib-1-right,,Costal_cartilage
costal-cartilage-of-rib-4-left,Costal cartilage of rib 4 (left),Costal cart of 4th rib.r,4.41,129.11,9.08,left,false,torso,costal_cartilage,costal-cartilage-of-rib-4-right,costal-cartilage-of-rib-1-right,,Costal_cartilage
costal-cartilage-of-rib-5-right,Costal cartilage of rib 5 (right),Costal cart of 5th rib.r,-5.23,125.98,10.15,right,true,torso,costal_cartilage,costal-cartilage-of-rib-5-left,costal-cartilage-of-rib-1-right,,Costal_cartilage
costal-cartilage-of-rib-5-left,Costal cartilage of rib 5 (left),Costal cart of 5th rib.r,5.23,125.98,10.15,left,false,torso,costal_cartilage,costal-cartilage-of-rib-5-right,costal-cartilage-of-rib-1-right,,Costal_cartilage
costal-cartilage-of-rib-6-right,Costal cartilage of rib 6 (right),Costal cart of 6th rib.r,-5.61,123.28,10.16,right,true,torso,costal_cartilage,costal-cartilage-of-rib-6-left,costal-cartilage-of-rib-1-right,,Costal_cartilage
costal-cartilage-of-rib-6-left,Costal cartilage of rib 6 (left),Costal cart of 6th rib.r,5.61,123.28,10.16,left,false,torso,costal_cartilage,costal-cartilage-of-rib-6-right,costal-cartilage-of-rib-1-right,,Costal_cartilage
costal-cartilage-of-rib-7-right,Costal cartilage of rib 7 (right),Costal cart of 7th rib.r,-6.11,120.71,9.41,right,true,torso,costal_cartilage,costal-cartilage-of-rib-7-left,costal-cartilage-of-rib-1-right,,Costal_cartilage
costal-cartilage-of-rib-7-left,Costal cartilage of rib 7 (left),Costal cart of 7th rib.r,6.11,120.71,9.41,left,false,torso,costal_cartilage,costal-cartilage-of-rib-7-right,costal-cartilage-of-rib-1-right,,Costal_cartilage
costal-cartilage-of-rib-8-right,Costal cartilage of rib 8 (right),Costal cart of 8th rib.r,-7.82,116.13,8.33,right,true,torso,costal_cartilage,costal-cartilage-of-rib-8-left,costal-cartilage-of-rib-1-right,,Costal_cartilage
costal-cartilage-of-rib-8-left,Costal cartilage of rib 8 (left),Costal cart of 8th rib.r,7.82,116.13,8.33,left,false,torso,costal_cartilage,costal-cartilage-of-rib-8-right,costal-cartilage-of-rib-1-right,,Costal_cartilage
costal-cartilage-of-rib-9-right,Costal cartilage of rib 9 (right),Costal cart of 9th rib.r,-9.61,111.61,6.36,right,true,torso,costal_cartilage,costal-cartilage-of-rib-9-left,costal-cartilage-of-rib-1-right,,Costal_cartilage
costal-cartilage-of-rib-9-left,Costal cartilage of rib 9 (left),Costal cart of 9th rib.r,9.61,111.61,6.36,left,false,torso,costal_cartilage,costal-cartilage-of-rib-9-right,costal-cartilage-of-rib-1-right,,Costal_cartilage
costal-cartilage-of-rib-10-right,Costal cartilage of rib 10 (right),Costal cart of 10th rib.r,-10.37,108.20,5.06,right,true,torso,costal_cartilage,costal-cartilage-of-rib-10-left,costal-cartilage-of-rib-1-right,,Costal_cartilage
costal-cartilage-of-rib-10-left,Costal cartilage of rib 10 (left),Costal cart of 10th rib.r,10.37,108.20,5.06,left,false,torso,costal_cartilage,costal-cartilage-of-rib-10-right,costal-cartilage-of-rib-1-right,,Costal_cartilage
clavicle-right,Clavicle (right),Clavicle.r,-8.01,140.67,-0.32,right,true,limbs,bone,clavicle-left,,Collarbone,Clavicle
clavicle-left,Clavicle (left),Clavicle.r,8.01,140.67,-0.32,left,false,limbs,bone,clavicle-right,,Collarbone,Clavicle
scapula-right,Scapula (right),Scapula.r.,-11.68,133.66,-6.00,right,true,limbs,bone,scapula-left,,Shoulder blade,Scapula
scapula-left,Scapula (left),Scapula.r.,11.68,133.66,-6.00,left,false,limbs,bone,scapula-right,,Shoulder blade,Scapula
humerus-right,Humerus (right),Humerus.r,-19.66,124.63,-3.16,right,true,limbs,bone,humerus-left,,Upper arm bone,Humerus
humerus-left,Humerus (left),Humerus.r,19.66,124.63,-3.16,left,false,limbs,bone,humerus-right,,Upper arm bone,Humerus
radius-right,Radius (right),Radius.r,-25.78,97.74,-1.25,right,true,limbs,bone,radius-left,,Forearm bone (thumb side),Radius_(bone)
radius-left,Radius (left),Radius.r,25.78,97.74,-1.25,left,false,limbs,bone,radius-right,,Forearm bone (thumb side),Radius_(bone)
ulna-right,Ulna (right),Ulna.r,-22.91,98.80,-2.31,right,true,limbs,bone,ulna-left,,Forearm bone (pinky side),Ulna_(bone)
ulna-left,Ulna (left),Ulna.r,22.91,98.80,-2.31,left,false,limbs,bone,ulna-right,,Forearm bone (pinky side),Ulna_(bone)
hip-bone-right,Hip bone (right),Hip bone.r,-6.89,90.47,-1.52,right,true,torso,bone,hip-bone-left,,Pelvis|Innominate bone|Os coxa,Hip_bone
hip-bone-left,Hip bone (left),Hip bone.r,6.89,90.47,-1.52,left,false,torso,bone,hip-bone-right,,Pelvis|Innominate bone|Os coxa,Hip_bone
femur-right,Femur (right),Femur.r,-9.02,65.82,-2.03,right,true,limbs,bone,femur-left,,Thigh bone|Thighbone,Femur
femur-left,Femur (left),Femur.r,9.02,65.82,-2.03,left,false,limbs,bone,femur-right,,Thigh bone|Thighbone,Femur
patella-right,Patella (right),Patella.r,-8.43,44.45,0.48,right,true,limbs,bone,patella-left,,Kneecap,Patella
