id,name,mesh_name,x,y,z,side,direct_mesh,region,bone_type,bilateral_partner,group_representative,name_alternates,wikipedia
patella-left,Patella (left),Patella.r,8.43,44.45,0.48,left,false,limbs,bone,patella-right,,Kneecap,Patella
tibia-right,Tibia (right),Tibia.r,-7.61,25.50,-2.87,right,true,limbs,bone,tibia-left,,Shinbone|Shin bone,Tibia_(bone)
tibia-left,Tibia (left),Tibia.r,7.61,25.50,-2.87,left,false,limbs,bone,tibia-right,,Shinbone|Shin bone,Tibia_(bone)
fibula-right,Fibula (right),Fibula.r,-10.69,23.71,-4.33,right,true,limbs,bone,fibula-left,,Calf bone,Fibula
fibula-left,Fibula (left),Fibula.r,10.69,23.71,-4.33,left,false,limbs,bone,fibula-right,,Calf bone,Fibula
scaphoid-right,Scaphoid (right),Scaphoid.r,-27.09,85.48,1.35,right,true,hands,bone,scaphoid-left,,,Scaphoid
scaphoid-left,Scaphoid (left),Scaphoid.r,27.09,85.48,1.35,left,false,hands,bone,scaphoid-right,,,Scaphoid
lunate-right,Lunate (right),Lunate bone.r,-25.35,85.47,1.34,right,true,hands,bone,lunate-left,,,Lunate
lunate-left,Lunate (left),Lunate bone.r,25.35,85.47,1.34,left,false,hands,bone,lunate-right,,,Lunate
triquetrum-right,Triquetrum (right),Triquetrum.r,-24.65,84.66,1.73,right,true,hands,bone,triquetrum-left,,,Triquetrum
triquetrum-left,Triquetrum (left),Triquetrum.r,24.65,84.66,1.73,left,false,hands,bone,triquetrum-right,,,Triquetrum
pisiform-right,Pisiform (right),Pisiform.r,-24.58,85.15,2.53,right,true,hands,bone,pisiform-left,,,Pisiform
pisiform-left,Pisiform (left),Pisiform.r,24.58,85.15,2.53,left,false,hands,bone,pisiform-right,,,Pisiform
trapezium-right,Trapezium (right),Trapezium.r,-28.34,84.65,2.24,right,true,hands,bone,trapezium-left,,,Trapezium_(bone)
trapezium-left,Trapezium (left),Trapezium.r,28.34,84.65,2.24,left,false,hands,bone,trapezium-right,,,Trapezium_(bone)
trapezoid-right,Trapezoid (right),Trapezoid.r,-27.78,84.03,1.60,right,true,hands,bone,trapezoid-left,,,Trapezoid
trapezoid-left,Trapezoid (left),Trapezoid.r,27.78,84.03,1.60,left,false,hands,bone,trapezoid-right,,,Trapezoid
capitate-right,Capitate (right),Capitate.r,-26.61,84.38,1.46,right,true,hands,bone,capitate-left,,,Capitate
capitate-left,Capitate (left),Capitate.r,26.61,84.38,1.46,left,false,hands,bone,capitate-right,,,Capitate
hamate-right,Hamate (right),Hamate.r,-25.37,84.16,1.81,right,true,hands,bone,hamate-left,,,Hamate
hamate-left,Hamate (left),Hamate.r,25.37,84.16,1.81,left,false,hands,bone,hamate-right,,,Hamate
metacarpal-1-right,Metacarpal 1 (right),1st metacarpal bone.r,-30.17,82.93,3.43,right,true,hands,bone,metacarpal-1-left,metacarpal-1-right,,Metacarpal_bones
metacarpal-1-left,Metacarpal 1 (left),1st metacarpal bone.r,30.17,82.93,3.43,left,false,hands,bone,metacarpal-1-right,metacarpal-1-right,,Metacarpal_bones
metacarpal-2-right,Metacarpal 2 (right),2nd metacarpal bone.r,-28.74,80.24,2.53,right,true,hands,bone,metacarpal-2-left,metacarpal-1-right,,Metacarpal_bones
metacarpal-2-left,Metacarpal 2 (left),2nd metacarpal bone.r,28.74,80.24,2.53,left,false,hands,bone,metacarpal-2-right,metacarpal-1-right,,Metacarpal_bones
metacarpal-3-right,Metacarpal 3 (right),3rd metacarpal bone.r,-27.24,80.23,2.30,right,true,hands,bone,metacarpal-3-left,metacarpal-1-right,,Metacarpal_bones
metacarpal-3-left,Metacarpal 3 (left),3rd metacarpal bone.r,27.24,80.23,2.30,left,false,hands,bone,metacarpal-3-right,metacarpal-1-right,,Metacarpal_bones
metacarpal-4-right,Metacarpal 4 (right),4th metacarpal bone.r,-25.69,80.49,2.42,right,true,hands,bone,metacarpal-4-left,metacarpal-1-right,,Metacarpal_bones
metacarpal-4-left,Metacarpal 4 (left),4th metacarpal bone.r,25.69,80.49,2.42,left,false,hands,bone,metacarpal-4-right,metacarpal-1-right,,Metacarpal_bones
metacarpal-5-right,Metacarpal 5 (right),5th metacarpal bone.r,-24.45,80.93,2.77,right,true,hands,bone,metacarpal-5-left,metacarpal-1-right,,Metacarpal_bones
metacarpal-5-left,Metacarpal 5 (left),5th metacarpal bone.r,24.45,80.93,2.77,left,false,hands,bone,metacarpal-5-right,metacarpal-1-right,,Metacarpal_bones
proximal-phalanx-of-finger-1-right,Proximal phalanx of finger 1 (right),Proximal phalanx of 1st finger.r,-32.00,80.06,4.98,right,true,hands,bone,proximal-phalanx-of-finger-1-left,proximal-phalanx-of-finger-1-right,,Phalanx_bone
proximal-phalanx-of-finger-1-left,Proximal phalanx of finger 1 (left),Proximal phalanx of 1st finger.r,32.00,80.06,4.98,left,false,hands,bone,proximal-phalanx-of-finger-1-right,proximal-phalanx-of-finger-1-right,,Phalanx_bone
proximal-phalanx-of-finger-2-right,Proximal phalanx of finger 2 (right),Proximal phalanx of 2d finger.r,-30.27,75.25,4.12,right,true,hands,bone,proximal-phalanx-of-finger-2-left,proximal-phalanx-of-finger-1-right,,Phalanx_bone
proximal-phalanx-of-finger-2-left,Proximal phalanx of finger 2 (left),Proximal phalanx of 2d finger.r,30.27,75.25,4.12,left,false,hands,bone,proximal-phalanx-of-finger-2-right,proximal-phalanx-of-finger-1-right,,Phalanx_bone
proximal-phalanx-of-finger-3-right,Proximal phalanx of finger 3 (right),Proximal phalanx of 3rd finger.r,-27.84,75.24,4.56,right,true,hands,bone,proximal-phalanx-of-finger-3-left,proximal-phalanx-of-finger-1-right,,Phalanx_bone
proximal-phalanx-of-finger-3-left,Proximal phalanx of finger 3 (left),Proximal phalanx of 3rd finger.r,27.84,75.24,4.56,left,false,hands,bone,proximal-phalanx-of-finger-3-right,proximal-phalanx-of-finger-1-right,,Phalanx_bone
proximal-phalanx-of-finger-4-right,Proximal phalanx of finger 4 (right),Proximal phalanx of 4th finger.r,-25.66,75.75,4.48,right,true,hands,bone,proximal-phalanx-of-finger-4-left,proximal-phalanx-of-finger-1-right,,Phalanx_bone
proximal-phalanx-of-finger-4-left,Proximal phalanx of finger 4 (left),Proximal phalanx of 4th finger.r,25.66,75.75,4.48,left,false,hands,bone,proximal-phalanx-of-finger-4-right,proximal-phalanx-of-finger-1-right,,Phalanx_bone
proximal-phalanx-of-finger-5-right,Proximal phalanx of finger 5 (right),Proximal phalanx of 5th finger.r,-23.80,76.78,4.50,right,true,hands,bone,proximal-phalanx-of-finger-5-left,proximal-phalanx-of-finger-1-right,,Phalanx_bone
proximal-phalanx-of-finger-5-left,Proximal phalanx of finger 5 (left),Proximal phalanx of 5th finger.r,23.80,76.78,4.50,left,false,hands,bone,proximal-phalanx-of-finger-5-right,proximal-phalanx-of-finger-1-right,,Phalanx_bone
distal-phalanx-of-finger-1-right,Distal phalanx of finger 1 (right),Distal phalanx of 1st finger.r,-32.88,77.91,6.18,right,true,hands,bone,distal-phalanx-of-finger-1-left,distal-phalanx-of-finger-1-right,,Phalanx_bone
distal-phalanx-of-finger-1-left,Distal phalanx of finger 1 (left),Distal phalanx of 1st finger.r,32.88,77.91,6.18,left,false,hands,bone,distal-phalanx-of-finger-1-right,distal-phalanx-of-finger-1-right,,Phalanx_bone
middle-phalanx-of-finger-2-right,Middle phalanx of finger 2 (right),Middle phalanx of 2d finger.r,-31.30,72.81,5.82,right,true,hands,bone,middle-phalanx-of-finger-2-left,middle-phalanx-of-finger-2-right,,Phalanx_bone
middle-phalanx-of-finger-2-left,Middle phalanx of finger 2 (left),Middle phalanx of 2d finger.r,31.30,72.81,5.82,left,false,hands,bone,middle-phalanx-of-finger-2-right,middle-phalanx-of-finger-2-right,,Phalanx_bone
distal-phalanx-of-finger-2-right,Distal phalanx of finger 2 (right),Distal phalanx of 2d finger.r,-31.76,71.53,7.54,right,true,hands,bone,distal-phalanx-of-finger-2-left,distal-phalanx-of-finger-1-right,,Phalanx_bone
distal-phalanx-of-finger-2-left,Distal phalanx of finger 2 (left),Distal phalanx of 2d finger.r,31.76,71.53,7.54,left,false,hands,bone,distal-phalanx-of-finger-2-right,distal-phalanx-of-finger-1-right,,Phalanx_bone
middle-phalanx-of-finger-3-right,Middle phalanx of finger 3 (right),Middle phalanx of 3rd finger.r,-28.36,72.20,6.59,right,true,hands,bone,middle-phalanx-of-finger-3-left,middle-phalanx-of-finger-2-right,,Phalanx_bone
middle-phalanx-of-finger-3-left,Middle phalanx of finger 3 (left),Middle phalanx of 3rd finger.r,28.36,72.20,6.59,left,false,hands,bone,middle-phalanx-of-finger-3-right,middle-phalanx-of-finger-2-right,,Phalanx_bone
distal-phalanx-of-finger-3-right,Distal phalanx of finger 3 (right),Distal phalanx of 3d finger.r,-28.65,70.60,8.40,right,true,hands,bone,distal-phalanx-of-finger-3-left,distal-phalanx-of-finger-1-right,,Phalanx_bone
distal-phalanx-of-finger-3-left,Distal phalanx of finger 3 (left),Distal phalanx of 3d finger.r,28.65,70.60,8.40,left,false,hands,bone,distal-phalanx-of-finger-3-right,distal-phalanx-of-finger-1-right,,Phalanx_bone
middle-phalanx-of-finger-4-right,Middle phalanx of finger 4 (right),Middle phalanx of 4th finger.r,-25.79,72.88,6.52,right,true,hands,bone,middle-phalanx-of-finger-4-left,middle-phalanx-of-finger-2-right,,Phalanx_bone
middle-phalanx-of-finger-4-left,Middle phalanx of finger 4 (left),Middle phalanx of 4th finger.r,25.79,72.88,6.52,left,false,hands,bone,middle-phalanx-of-finger-4-right,middle-phalanx-of-finger-2-right,,Phalanx_bone
distal-phalanx-of-finger-4-right,Distal phalanx of finger 4 (right),Distal phalanx of 4th finger.r,-25.91,71.62,8.40,right,true,hands,bone,distal-phalanx-of-finger-4-left,distal-phalanx-of-finger-1-right,,Phalanx_bone
distal-phalanx-of-finger-4-left,Distal phalanx of finger 4 (left),Distal phalanx of 4th finger.r,25.91,71.62,8.40,left,false,hands,bone,distal-phalanx-of-finger-4-right,distal-phalanx-of-finger-1-right,,Phalanx_bone
middle-phalanx-of-finger-5-right,Middle phalanx of finger 5 (right),Middle phalanx of 5th finger.r,-23.32,74.47,5.96,right,true,hands,bone,middle-phalanx-of-finger-5-left,middle-phalanx-of-finger-2-right,,Phalanx_bone
middle-phalanx-of-finger-5-left,Middle phalanx of finger 5 (left),Middle phalanx of 5th finger.r,23.32,74.47,5.96,left,false,hands,bone,middle-phalanx-of-finger-5-right,middle-phalanx-of-finger-2-right,,Phalanx_bone
distal-phalanx-of-finger-5-right,Distal phalanx of finger 5 (right),Distal phalanx of 5th finger.r,-23.15,72.97,7.22,right,true,hands,bone,distal-phalanx-of-finger-5-left,distal-phalanx-of-finger-1-right,,Phalanx_bone
distal-phalanx-of-finger-5-left,Distal phalanx of finger 5 (left),Distal phalanx of 5th finger.r,23.15,72.97,7.22,left,false,hands,bone,distal-phalanx-of-finger-5-right,distal-phalanx-of-finger-1-right,,Phalanx_bone
sesamoid-bones-of-hand-right,Sesamoid bones of hand (right),Sesamoid_bones_of_hand.r,-27.65,79.52,4.45,right,true,hands,sesamoid,sesamoid-bones-of-hand-left,,,Sesamoid_bones
sesamoid-bones-of-hand-left,Sesamoid bones of hand (left),Sesamoid_bones_of_hand.r,27.65,79.52,4.45,left,false,hands,sesamoid,sesamoid-bones-of-hand-right,,,Sesamoid_bones
calcaneus-right,Calcaneus (right),Calcaneus.r,-7.65,3.68,-5.52,right,true,feet,bone,calcaneus-left,,Heel bone,Calcaneus
calcaneus-left,Calcaneus (left),Calcaneus.r,7.65,3.68,-5.52,left,false,feet,bone,calcaneus-right,,Heel bone,Calcaneus
talus-right,Talus (right),Talus.r,-7.48,6.82,-3.69,right,true,feet,bone,talus-left,,Ankle bone|Anklebone,Talus_(bone)
talus-left,Talus (left),Talus.r,7.48,6.82,-3.69,left,false,feet,bone,talus-right,,Ankle bone|Anklebone,Talus_(bone)
navicular-right,Navicular (right),Navicular bone.r,-7.23,6.22,-0.27,right,true,feet,bone,navicular-left,,Scaphoid of foot,Navicular
navicular-left,Navicular (left),Navicular bone.r,7.23,6.22,-0.27,left,false,feet,bone,navicular-right,,Scaphoid of foot,Navicular
medial-cuneiform-right,Medial cuneiform (right),Medial cuneiform bone.r,-6.99,5.22,1.53,right,true,feet,bone,medial-cuneiform-left,,,Medial_cuneiform
medial-cuneiform-left,Medial cuneiform (left),Medial cuneiform bone.r,6.99,5.22,1.53,left,false,feet,bone,medial-cuneiform-right,,,Medial_cuneiform
intermediate-cuneiform-right,Intermediate cuneiform (right),Intermediate cuneiform bone.r,-8.41,5.89,1.19,right,true,feet,bone,intermediate-cuneiform-left,,,Intermediate_cuneiform
intermediate-cuneiform-left,Intermediate cuneiform (left),Intermediate cuneiform bone.r,8.41,5.89,1.19,left,false,feet,bone,intermediate-cuneiform-right,,,Intermediate_cuneiform
lateral-cuneiform-right,Lateral cuneiform (right),Lateral cuneiform bone.r,-9.33,5.38,0.69,right,true,feet,bone,lateral-cuneiform-left,,,Lateral_cuneiform
lateral-cuneiform-left,Lateral cuneiform (left),Lateral cuneiform bone.r,9.33,5.38,0.69,left,false,feet,bone,lateral-cuneiform-right,,,Lateral_cuneiform
cuboid-right,Cuboid (right),Cuboid bone.r,-9.61,4.40,-0.69,right,true,feet,bone,cuboid-left,,,Cuboid
cuboid-left,Cuboid (left),Cuboid bone.r,9.61,4.40,-0.69,left,false,feet,bone,cuboid-right,,,Cuboid
metatarsal-1-right,Metatarsal 1 (right),First metatarsal bone.r,-7.12,3.72,5.28,right,true,feet,bone,metatarsal-1-left,metatarsal-1-right,,Metatarsal_1
metatarsal-1-left,Metatarsal 1 (left),First metatarsal bone.r,7.12,3.72,5.28,left,false,feet,bone,metatarsal-1-right,metatarsal-1-right,,Metatarsal_1
metatarsal-2-right,Metatarsal 2 (right),Second metatarsal bone.r,-8.94,3.86,4.98,right,true,feet,bone,metatarsal-2-left,metatarsal-1-right,,Metatarsal_bones
metatarsal-2-left,Metatarsal 2 (left),Second metatarsal bone.r,8.94,3.86,4.98,left,false,feet,bone,metatarsal-2-right,metatarsal-1-right,,Metatarsal_bones
metatarsal-3-right,Metatarsal 3 (right),Third metatarsal bone.r,-10.08,3.57,4.73,right,true,feet,bone,metatarsal-3-left,metatarsal-1-right,,Metatarsal_bones
metatarsal-3-left,Metatarsal 3 (left),Third metatarsal bone.r,10.08,3.57,4.73,left,false,feet,bone,metatarsal-3-right,metatarsal-1-right,,Metatarsal_bones
metatarsal-4-right,Metatarsal 4 (right),Fourth metatarsal bone.r,-10.92,3.07,3.80,right,true,feet,bone,metatarsal-4-left,metatarsal-1-right,,Metatarsal_bones
metatarsal-4-left,Metatarsal 4 (left),Fourth metatarsal bone.r,10.92,3.07,3.80,left,false,feet,bone,metatarsal-4-right,metatarsal-1-right,,Metatarsal_bones
metatarsal-5-right,Metatarsal 5 (right),Fifth metatarsal bone.r,-11.95,2.51,2.27,right,true,feet,bone,metatarsal-5-left,metatarsal-1-right,,Metatarsal_5
metatarsal-5-left,Metatarsal 5 (left),Fifth metatarsal bone.r,11.95,2.51,2.27,left,false,feet,bone,metatarsal-5-right,metatarsal-1-right,,Metatarsal_5
proximal-phalanx-of-toe-1-right,Proximal phalanx of toe 1 (right),Proximal phalanx of first finger of foot.r,-7.39,2.03,9.69,right,true,feet,bone,proximal-phalanx-of-toe-1-left,proximal-phalanx-of-toe-1-right,,Phalanx_bone
proximal-phalanx-of-toe-1-left,Proximal phalanx of toe 1 (left),Proximal phalanx of first finger of foot.r,7.39,2.03,9.69,left,false,feet,bone,proximal-phalanx-of-toe-1-right,proximal-phalanx-of-toe-1-right,,Phalanx_bone
distal-phalanx-of-toe-1-right,Distal phalanx of toe 1 (right),Distal phalanx of first finger of foot.r,-8.05,1.59,12.12,right,true,feet,bone,distal-phalanx-of-toe-1-left,distal-phalanx-of-toe-1-right,,Phalanx_bone
distal-phalanx-of-toe-1-left,Distal phalanx of toe 1 (left),Distal phalanx of first finger of foot.r,8.05,1.59,12.12,left,false,feet,bone,distal-phalanx-of-toe-1-right,distal-phalanx-of-toe-1-right,,Phalanx_bone
proximal-phalanx-of-toe-2-right,Proximal phalanx of toe 2 (right),Proximal phalanx of second finger of foot.r,-9.56,2.00,9.71,right,true,feet,bone,proximal-phalanx-of-toe-2-left,proximal-phalanx-of-toe-1-right,,Phalanx_bone
proximal-phalanx-of-toe-2-left,Proximal phalanx of toe 2 (left),Proximal phalanx of second finger of foot.r,9.56,2.00,9.71,left,false,feet,bone,proximal-phalanx-of-toe-2-right,proximal-phalanx-of-toe-1-right,,Phalanx_bone
middle-phalanx-of-toe-2-right,Middle phalanx of toe 2 (right),Middle phalanx of second finger of foot.r,-10.09,1.65,11.75,right,true,feet,bone,middle-phalanx-of-toe-2-left,middle-phalanx-of-toe-2-right,,Phalanx_bone
middle-phalanx-of-toe-2-left,Middle phalanx of toe 2 (left),Middle phalanx of second finger of foot.r,10.09,1.65,11.75,left,false,feet,bone,middle-phalanx-of-toe-2-right,middle-phalanx-of-toe-2-right,,Phalanx_bone
distal-phalanx-of-toe-2-right,Distal phalanx of toe 2 (right),Distal phalanx of second finger of foot.r,-10.38,1.33,13.03,right,true,feet,bone,distal-phalanx-of-toe-2-left,distal-phalanx-of-toe-1-right,,Phalanx_bone
distal-phalanx-of-toe-2-left,Distal phalanx of toe 2 (left),Distal phalanx of second finger of foot.r,10.38,1.33,13.03,left,false,feet,bone,distal-phalanx-of-toe-2-right,distal-phalanx-of-toe-1-right,,Phalanx_bone
proximal-phalanx-of-toe-3-right,Proximal phalanx of toe 3 (right),Proximal phalanx of third finger of foot.r,-11.16,1.98,9.18,right,true,feet,bone,proximal-phalanx-of-toe-3-left,proximal-phalanx-of-toe-1-right,,Phalanx_bone
proximal-phalanx-of-toe-3-left,Proximal phalanx of toe 3 (left),Proximal phalanx of third finger of foot.r,11.16,1.98,9.18,left,false,feet,bone,proximal-phalanx-of-toe-3-right,proximal-phalanx-of-toe-1-right,,Phalanx_bone
middle-phalanx-of-toe-3-right,Middle phalanx of toe 3 (right),Middle phalanx of third finger of foot.r,-11.80,1.63,11.25,right,true,feet,bone,middle-phalanx-of-toe-3-left,middle-phalanx-of-toe-2-right,,Phalanx_bone
middle-phalanx-of-toe-3-left,Middle phalanx of toe 3 (left),Middle phalanx of third finger of foot.r,11.80,1.63,11.25,left,false,feet,bone,middle-phalanx-of-toe-3-right,middle-phalanx-of-toe-2-right,,Phalanx_bone
distal-phalanx-of-toe-3-right,Distal phalanx of toe 3 (right),Distal phalanx of third finger of foot.r,-12.11,1.41,12.45,right,true,feet,bone,distal-phalanx-of-toe-3-left,distal-phalanx-of-toe-1-right,,Phalanx_bone
distal-phalanx-of-toe-3-left,Distal phalanx of toe 3 (left),Distal phalanx of third finger of foot.r,12.11,1.41,12.45,left,false,feet,bone,distal-phalanx-of-toe-3-right,distal-phalanx-of-toe-1-right,,Phalanx_bone
proximal-phalanx-of-toe-4-right,Proximal phalanx of toe 4 (right),Proximal phalanx of fourth finger of foot.r,-12.31,1.69,8.14,right,true,feet,bone,proximal-phalanx-of-toe-4-left,proximal-phalanx-of-toe-1-right,,Phalanx_bone
proximal-phalanx-of-toe-4-left,Proximal phalanx of toe 4 (left),Proximal phalanx of fourth finger of foot.r,12.31,1.69,8.14,left,false,feet,bone,proximal-phalanx-of-toe-4-right,proximal-phalanx-of-toe-1-right,,Phalanx_bone
middle-phalanx-of-toe-4-right,Middle phalanx of toe 4 (right),Middle phalanx of fourth finger of foot.r,-12.99,1.40,9.92,right,true,feet,bone,middle-phalanx-of-toe-4-left,middle-phalanx-of-toe-2-right,,Phalanx_bone
middle-phalanx-of-toe-4-left,Middle phalanx of toe 4 (left),Middle phalanx of fourth finger of foot.r,12.99,1.40,9.92,left,false,feet,bone,middle-phalanx-of-toe-4-right,middle-phalanx-of-toe-2-right,,Phalanx_bone
distal-phalanx-of-toe-4-right,Distal phalanx of toe 4 (right),Distal phalanx of fourth finger of foot.r,-13.21,1.29,10.95,right,true,feet,bone,distal-phalanx-of-toe-4-left,distal-phalanx-of-toe-1-right,,Phalanx_bone
distal-phalanx-of-toe-4-left,Distal phalanx of toe 4 (left),Distal phalanx of fourth finger of foot.r,13.21,1.29,10.95,left,false,feet,bone,distal-phalanx-of-toe-4-right,distal-phalanx-of-toe-1-right,,Phalanx_bone
proximal-phalanx-of-toe-5-right,Proximal phalanx of toe 5 (right),Proximal phalanx of fifth finger of foot.r,-13.56,1.52,6.83,right,true,feet,bone,proximal-phalanx-of-toe-5-left,proximal-phalanx-of-toe-1-right,,Phalanx_bone
proximal-phalanx-of-toe-5-left,Proximal phalanx of toe 5 (left),Proximal phalanx of fifth finger of foot.r,13.56,1.52,6.83,left,false,feet,bone,proximal-phalanx-of-toe-5-right,proximal-phalanx-of-toe-1-right,,Phalanx_bone
middle-phalanx-of-toe-5-right,Middle phalanx of toe 5 (right),Middle phalanx of fifth finger of foot.r,-14.12,1.29,8.37,right,true,feet,bone,middle-phalanx-of-toe-5-left,middle-phalanx-of-toe-2-right,,Phalanx_bone
middle-phalanx-of-toe-5-left,Middle phalanx of toe 5 (left),Middle phalanx of fifth finger of foot.r,14.12,1.29,8.37,left,false,feet,bone,middle-phalanx-of-toe-5-right,middle-phalanx-of-toe-2-right,,Phalanx_bone
distal-phalanx-of-toe-5-right,Distal phalanx of toe 5 (right),Distal phalanx of fifth finger of foot.r,-14.26,1.18,9.14,right,true,feet,bone,distal-phalanx-of-toe-5-left,distal-phalanx-of-toe-1-right,,Phalanx_bone
distal-phalanx-of-toe-5-left,Distal phalanx of toe 5 (left),Distal phalanx of fifth finger of foot.r,14.26,1.18,9.14,left,false,feet,bone,distal-phalanx-of-toe-5-right,distal-phalanx-of-toe-1-right,,Phalanx_bone
sesamoid-bones-of-foot-right,Sesamoid bones of foot (right),Sesamoid bones of foot.r,-7.18,1.39,7.05,right,true,feet,sesamoid,sesamoid-bones-of-foot-left,,,Sesamoid_bones
sesamoid-bones-of-foot-left,Sesamoid bones of foot (left),Sesamoid bones of foot.r,7.18,1.39,7.05,left,false,feet,sesamoid,sesamoid-bones-of-foot-right,,,Sesamoid_bones
