rank,name,alternates,distance_ly,x,y,z,spectral_class,spectral_type,luminosity,magnitude,star_count,wikipedia
1,Proxima Centauri,Gl 551,4.23,-1.54,-1.18,-3.75,M,M5Ve,0.0000577032135333,11.01,1,Proxima_Centauri
2,Rigil Kentaurus and Toliman,Gl 559|Alp1Cen,4.32,-1.62,-1.35,-3.77,G,G2V,1.9840818821084296,-0.01,2,Rigil_Kentaurus
3,Barnard's Star,Gl 699,5.95,-0.06,-5.92,0.49,M,sdM4,0.0004425883723626,9.54,1,Barnard's_Star
4,Wolf 359,Gl 406,7.8,-7.45,2.12,0.95,M,M6,0.000020758692705,13.45,1,Wolf_359
5,Lalande 21185,Gl 411,8.31,-6.52,1.64,4.88,M,M2V,0.0057016427228074665,7.49,1,Lalande_21185
6,Gl 65 A and B,Gl 65,8.57,7.41,3.41,-2.64,M,dM5.5e,0.0001063182464429,12.57,2,
7,Sirius A and B,Gl 244|9Alp CMa,8.6,-1.61,8.08,-2.47,A,A0m...,22.82698229878554,-1.44,2,Sirius
8,Ross 154,Gl 729,9.69,1.91,-8.65,-3.91,M,M3.5Ve,0.0005465123745199,10.37,1,Ross_154
9,Ross 248,Gl 905,10.33,7.38,-0.58,7.19,M,dM6  e,0.0001060718149635,12.29,1,Ross_248
10,Ran,Gl 144|18Eps Eri,10.49,6.19,8.29,-1.72,K,K2V,0.2929543829769431,3.72,1,Ran
11,Lacaille 9352,Gl 887,10.68,8.42,-2.03,-6.26,M,M2/M3V,0.010734949358052354,7.35,1,Lacaille_9352
12,Ross 128,Gl 447,10.94,-10.93,0.59,0.15,M,M4.5V,0.0003496230040027,11.12,1,Ross_128
13,EZ Aqr,Gl 866A,11.08,10.01,-3.72,-2.92,M,M5  e,0.0000867760744991,12.66,1,EZ_Aqr
14,Gl 820 A and B,Gl 820|61    Cyg,11.37,6.46,-6.08,7.12,K,K5V,0.1285778448647328,5.2,2,
15,Procyon A and B,Gl 280|10Alp CMi,11.46,-4.79,10.36,1.04,F,F5IV-V,7.441022904202234,0.4,2,Procyon
16,Struve 2398 A and B,Struve 2398|Gl 725,11.64,1.09,-5.78,10.04,K,K5,0.0043160284994637034,8.94,2,Struve_2398_A
17,Groombridge 34 A and B,Gl 15,11.7,8.39,0.67,8.13,M,M1V,0.006927922977299607,8.09,2,Groombridge_34
18,Gl 845,Eps Ind,11.81,5.65,-3.15,-9.88,K,K5V,0.15205475297324955,4.69,1,
19,GJ 1111,,11.83,-6.42,8.38,5.33,M,M6.5,0.0000136395486751,14.81,1,
20,Gl 71,52Tau Cet,11.91,10.29,5.02,-3.27,G,G8V,0.46644452520377955,3.49,1,
21,Gl 54.1,,12.03,10.94,3.58,-3.52,M,M5.5Ve,0.0001713957307508,12.1,1,
22,HIP 82724,,12.06,-1.57,-5.36,-10.68,M,Mp,0.000216570849471,11.85,1,
23,Luyten's Star,Gl 273,12.4,-4.6,11.46,1.13,M,M5,0.0014588142602753474,9.84,1,Luyten's_Star
24,Kapteyn's Star,Gl 191,12.76,1.89,8.82,-9.03,M,M0V,0.0038089037649813515,8.86,1,Kapteyn's_Star
25,Lacaille 8760,Gl 825,12.87,7.6,-6.53,-8.08,M,M1/M2V,0.028602236939542804,6.69,1,Lacaille_8760
26,Kruger 60 A and B,Gl 860,13.05,6.42,-2.72,11.03,M,M2V,0.002456509244517825,9.59,2,Kruger_60
27,Ross 614 A and B,Gl 234,13.46,-1.72,13.33,-0.66,M,M4.5Ve,0.0005500289402794,11.12,2,Ross_614
28,HIP 82725,,13.52,-1.77,-6.01,-11.99,,,0.000307043565073,11.72,1,
29,Van Maanen's Star,Gl 35,13.9,13.53,2.95,1.31,D,DG,0.0001783199772233,12.37,1,Van_Maanen's_Star
30,Wolf 1061,Gl 628,14,-5.21,-12.63,-3.07,M,M4,0.0014628506869998534,10.1,1,Wolf_1061
31,GJ 1061,,14,5.87,8.07,-9.81,M,M4.5,0.000098446436398,13.03,1,
32,Gl 473 A and B,Gl 473,14.05,-13.73,-2.01,2.2,M,dM5.5eJ,0.0001756045160879,13.04,2,
33,Gl 1,,14.15,11.25,0.27,-8.59,M,M2V,0.0061773185859152,8.56,1,
34,GJ 3522,,14.56,-10.14,10.23,2.15,K,k,0.0007648917910071,10.89,1,
35,Gl 83.1,,14.57,12.28,7.11,3.29,M,dM8  e,0.0002130100037411,12.28,1,
36,GJ 3618,,14.64,-6.67,2.28,-12.83,M,m,0.000047424198526,13.92,1,
37,GJ 3622,,14.76,-13.77,4.46,-2.9,M,M6.5,0.0000102612436519,15.6,1,
38,Gl 687,,14.77,-0.56,-5.42,13.73,M,M3.5Vvar,0.003908408957924021,9.15,1,
39,Gl 674,,14.81,-1.38,-10.02,-10.81,K,K5,0.0031798014276915245,9.38,1,
40,Gl 440,,15.03,-6.38,0.4,-13.6,D,DC:,0.0004647292416762,11.5,1,
41,Gl 876,,15.29,14.2,-4.25,-3.77,M,M5,0.001651961798229015,10.16,1,
42,GJ 1002,,15.33,15.18,0.45,-2.01,M,M5-5.5,0.0000608135001279,13.75,1,
43,GJ 1245 A and B,GJ 1245,15.38,5.24,-9.66,10.77,M,M5.5 V e,0.00013200848613389998,13.41,2,
44,Gl 412 A and B,Gl 412,15.81,-11.14,2.7,10.89,M,M2Vvar,0.006105508924746642,8.82,2,
45,Gl 380,,15.89,-9.19,4.72,12.08,K,K8V,0.04738053933388253,6.6,1,
46,Gl 388,,16,-13.63,6.38,5.44,M,M4.5Ve,0.003640826637894008,9.4,1,
47,Gl 832,,16.16,8.51,-6.32,-12.2,M,M1V,0.0073451386815711435,8.66,1,
48,GJ 1005A,,16.26,15.59,1.05,-4.52,M,M:,0.0005490349610252,11.49,1,
49,Keid A and B and C,Gl 166|40Omi2Eri,16.26,7.11,14.46,-2.16,K,K1V,0.36996585005717614,4.43,3,Keid
50,Gl 682,,16.56,-1.18,-11.79,-11.57,M,M5,0.000945366045958,10.94,1,
51,Gl 702 A and B,Gl 702|70    Oph,16.58,0.39,-16.56,0.72,K,K0V SB,0.6397488137091152,4.03,2,
52,Gl 873,,16.71,11.35,-3.75,11.68,M,M4.5Ve,0.0017490410399663018,10.29,1,
53,Altair,Gl 768|53Alp Aql,16.73,7.68,-14.64,2.58,A,A7IV-V,11.376272858234303,0.76,1,Altair
54,GJ 1116 A and B,GJ 1116,17.05,-11.26,11.43,5.76,M,m,0.0000821551892404,14.06,2,
55,HIP 67593,,17.37,-14.07,-7.4,7,,,0.0001171655673911,13.31,1,
56,Gl 445,,17.45,-3.42,0.18,17.11,M,M4,0.0011934383792107956,10.8,1,
57,GJ 3379,,17.51,0,17.49,0.83,M,M4,0.0007372249081043,11.33,1,
58,Gl 526,,17.58,-15.22,-7.56,4.52,M,M3V,0.010452014414584357,8.46,1,
59,HD 104901,,17.99,-8.45,-0.18,-15.89,F,F0Ib-II,0.024842768936968018,7.57,1,
60,Gl 169.1 A and B,Gl 169.1,18.19,3.54,8.68,15.59,,,0.00155268600997906,10.82,2,
61,HD 265866,,18.22,-3.61,14.8,10,K,K:...,0.0030088462766457236,9.89,1,
62,HIP 83609,,18.32,-3.6,-14.79,-10.18,G,G0,0.005480245321768504,9.25,1,
63,Gl 205,,18.45,2.29,18.27,-1.18,M,M1V,0.018080065521100055,7.97,1,
64,Gl 754,,18.56,4.49,-12.2,-13.26,M,M4.5,0.0003617428867642,12.23,1,
65,HIP 103039,,18.63,12.19,-13.01,-5.44,,,0.0007755324957586,11.41,1,
66,Gl 229,,18.77,-0.8,17.4,-6.99,M,M1/M2V,0.015848931924611134,8.15,1,
67,Alsafi,Gl 764|61Sig Dra,18.77,2.56,-6,17.6,K,K0V,0.39084089579240183,4.67,1,Alsafi
68,Gl 251,,18.79,-3.72,15.26,10.31,M,dM4,0.0028628592708721187,10.01,1,
69,Gl 213,,19.01,1.44,18.51,4.11,M,M5,0.0007033961712162,11.56,1,
70,Gl 693,,19.02,-0.6,-10.25,-16.01,M,M5,0.0014845676750522715,10.75,1,
71,Gl 570 A and B,Gl 570,19.05,-12.68,-12.4,-6.96,K,K4V,0.17216318963618576,5.72,2,
72,Gl 752 A and B,Gl 752,19.15,6.28,-18,1.72,M,M3.5V,0.006751335801021473,9.12,2,
73,Gl 300,,19.19,-9.76,14.94,-7.05,M,M4,0.0004357124805031,12.1,1,
74,Gl 588,,19.34,-8.74,-11.62,-12.76,M,M0,0.005780960474057175,9.31,1,
75,Guniibuu B,Guniibuu|Gl 663|36    Oph,19.35,-3.35,-16.98,-8.67,K,K2:III:,0.8604828118911054,4.33,2,Guniibuu
76,Achird A and B,Gl 34|24Eta Cas,19.42,10.11,2.2,16.43,G,G0V SB,1.3058551520545938,3.46,2,Achird
77,Gl 285,,19.43,-8.55,17.4,1.2,M,M4.5Ve,0.001032761405761397,11.19,1,
78,Gl 664,,19.47,-3.31,-17.1,-8.7,K,K5V,0.09120108393559093,6.33,1,
79,Gl 661 A and B,Gl 661,19.5,-2.82,-13.33,13.94,K,K5,0.008285286482418443,9.31,2,
80,Gl 908,,19.5,19.46,-0.92,0.82,M,M2V,0.007965260797837782,8.98,1,
81,Gl 783 A and B,Gl 783,19.62,8.58,-13.32,-11.56,K,K2V,0.23543983247694628,5.32,2,
82,82 G. Eri,Gl 139,19.71,9.26,11.03,-13.46,G,G8V,0.6286370884130494,4.26,1,82_G._Eri
83,Gl 555,,19.77,-15.09,-12.03,-4.29,M,M4,0.0009488553267278,11.32,1,
84,Gl 780,Del Pav,19.92,4.28,-6.81,-18.23,G,G5IV-Vvar,1.23594743344451,3.55,1,
85,GJ 3323,,20.01,4.98,19.23,-2.42,M,m,0.0004738053933388,12.1,1,
86,GJ 1221,,20.03,-0.34,-6.55,18.93,D,DXP9,0.0000719117735783,14.15,1,
87,GJ 3454,,20.13,-8.16,18.24,2.48,M,m,0.0001709228005234,13.22,1,
88,Gl 896 A and B,Gl 896,20.16,18.81,-2.32,6.88,M,M6Ve,0.0035527079676537245,10.05,2,
89,Gl 644 A and B and C,Gl 644,20.21,-5.55,-19.21,-2.93,M,M3Ve,0.011391798343588472,9.02,3,
90,Gl 784,,20.22,7.86,-11.89,-14.33,M,M0V,0.021697015538008506,7.97,1,
91,GJ 1128,,20.26,-6.03,4.11,-18.89,M,m,0.0002596569790274,12.78,1,
92,GJ 3877,,20.26,-12.81,-12.44,-9.56,M,dM8,0.0000050862769031,17.05,1,
93,Gl 581,,20.27,-12.95,-15.36,-2.72,M,M5,0.001989756811090657,10.57,1,
94,Gl 268,,20.53,-4.83,15.32,12.79,M,M5Ve,0.0007550922276654,11.65,1,
95,Gl 338 A and B,Gl 338,20.85,-9.48,8.36,16.58,K,K2,0.055440146311132296,7.64,2,
96,GJ 2097,,20.91,-18.71,-5.63,7.43,M,m,0.0003323533035775,12.58,1,
97,Gl 223.2,,21.07,0.44,21.01,-1.53,D,DZ9,0.0000603114819618,14.45,1,
98,Gl 625,,21.25,-4.97,-11.36,17.26,M,M2,0.003280952931131187,10.13,1,
99,GJ 1156,,21.33,-20.86,-1.73,4.12,D,dM   e,0.0001114807803364,13.81,1,
100,Gl 892,,21.35,11.34,-2.34,17.94,K,K3Vvar,0.22080047330188987,5.57,1,
101,Gl 408,,21.73,-19.35,5.18,8.43,M,M3,0.003760105236684952,10.03,1,
102,Gl 829,,21.87,16.51,-12.71,6.63,M,M4,0.002889348981559078,10.33,1,
103,Gl 566 A and B,Gl 566|37Xi  Boo,21.89,-15.17,-14.07,7.16,G,G8V + K4V,0.6629184546742697,4.54,2,
104,Gl 643,,21.9,-6.03,-20.82,-3.17,M,M4,0.000797994687268,11.73,1,
105,Gl 299,,22.04,-11.86,18.26,3.36,M,dM5,0.000293494522227,12.83,1,
106,Gl 402,,22.05,-20.91,6.5,2.61,M,M4:,0.0008790225168309,11.64,1,
107,GJ 4285,,22.19,8.51,-3.18,-20.24,M,m,0.0010597416418830963,11.45,1,
108,HIP 85605,,22.21,-2.67,-20.01,9.27,,,0.001123052347541083,11.39,1,
109,Gl 667 A and B and C,Gl 667,22.3,-3.25,-17.97,-12.78,K,K4V,0.23525139130718978,5.91,3,
110,Gl 880,,22.33,20.59,-5.85,6.36,M,M2:,0.013765753865094156,8.68,1,
111,Gl 293,,22.54,-4.04,7.5,-20.87,D,DQ9,0.0000970957006529,14.08,1,
112,Gl 809,,22.99,7.37,-7.81,20.33,M,M2V,0.016458869432193036,8.55,1,
113,Gl 393,,23.05,-21.25,8.92,0.34,M,M2,0.006003437587325644,9.65,1,
114,268 G. Cet A and B,Gl 105,23.42,18.06,14.64,2.81,K,K3V,0.21795099951611602,5.79,2,268_G._Cet
115,GJ 3737,,23.46,-18.13,-3.1,-14.57,M,M4,0.0003614098626396,12.74,1,
116,GJ 1286,,23.53,23.37,-2.54,-0.98,M,M5,0.0000603114819618,14.69,1,
117,GJ 4053,,23.75,0.79,-9.56,21.73,M,m,0.0001874131239977,13.48,1,
118,GJ 1230 A and B,GJ 1230,23.98,3.89,-21.42,10.05,K,k-m,0.000634428292535,12.4,2,
119,GJ 3991,,24.28,-3.84,-17.14,16.77,M,M3,0.000945366045958,11.77,1,
120,96 G. Psc,Gl 33,24.31,23.67,5.07,2.24,K,K2V,0.24479356661960658,5.74,1,96_G._Psc
121,GJ 4274,,24.32,21.14,-9.51,-7.36,M,M4,0.0002427727847681,13.25,1,
122,Gl 19,Bet Hyi,24.33,5.33,0.6,-23.73,G,G2IV,3.6074473386419155,2.82,1,
123,Gl 109,,24.49,16.67,14.52,10.55,M,M3.5Ve,0.002959374995343386,10.55,1,
124,HIP 62951,,24.55,-22.7,-5.45,-7.6,A,A2,0.019480495532907652,8.51,1,
125,GJ 2005,,24.56,21.69,2.35,-11.19,M,M5.5,0.0000335428530833,15.42,1,
126,Gl 68,107    Psc,24.57,20.78,9.97,8.51,K,K1V,0.3962780342554391,5.24,1,
127,GJ 1224,,24.58,0.78,-23.62,-6.76,M,m,0.0001747430855267,13.63,1,
128,Gl 53 A and B,Gl 53|30Mu  Cas,24.64,13.53,4.16,20.16,G,G5Vp,0.4269896245112806,5.17,2,
129,GJ 3378,,24.67,-0.06,12.48,21.28,M,m,0.0010318106352675907,11.71,1,
130,Gl 879,,24.82,20.34,-5.79,-12.99,K,K4Vp,0.12906247820605365,6.48,1,
131,GJ 3193B,,24.9,16.74,17.01,-7.11,M,M3,0.000967386449969,11.8,1,
132,GJ 3192,,24.9,16.74,17.01,-7.11,M,M3,0.00272898,10.96,1,
133,Gl 514,,24.97,-22.69,-9.4,4.5,M,M1V,0.01224616199265047,9.05,1,
134,Vega,Gl 721|3Alp Lyr,25.04,3.13,-19.27,15.69,A,A0Vvar,49.93441887213498,0.03,1,Vega
135,Gl 673,,25.12,-3.74,-24.82,0.93,K,K7V,0.04979663541644856,7.54,1,
136,Fomalhaut,Gl 881|24Alp PsA,25.13,21.04,-5.87,-12.42,A,A3V,17.587333541355722,1.17,1,Fomalhaut
137,GJ 3417,,25.28,-2.94,11.37,22.39,M,m,0.0001814679779397,13.65,1,
138,GJ 1093,,25.3,-6.13,23.07,8.38,M,m,0.0000613196969716,14.83,1,
139,Gl 701,,25.31,0.57,-25.26,-1.34,M,M2V,0.009366988779521163,9.37,1,
140,Gl 480.1,,25.38,-18.1,-3.25,-17.49,M,M4,0.0006698846094165,12.24,1,
141,Gl 915,,25.44,18.56,0.18,-17.4,A,DA5,0.0003194478724209,13.05,1,
142,Gl 382,,25.67,-22.83,11.6,-1.68,M,M3,0.010665961212302578,9.26,1,
143,GJ 3789,,25.89,-20.79,-8.8,12.66,M,M4  e,0.0009103323996799,11.95,1,
144,GJ 1087,,26.07,0.41,25.95,2.44,D,DAP9,0.000127526370646,14.1,1,
145,Gl 793,,26.08,6.62,-8.58,23.72,M,M3,0.003385322128153541,10.54,1,
146,Gl 257 A and B,Gl 257,26.12,-4.66,18.11,-18.24,M,M4+...,0.0038213757727902625,10.81,2,
147,GJ 1276,,26.26,25,-7.42,-3.1,D,DZ9+,0.0000310170149948,15.65,1,
148,Gl 623,,26.28,-7.09,-15.96,19.64,M,M3,0.0044096081645063736,10.27,1,
149,Gl 713A,44Chi Dra,26.28,0.72,-7.77,25.1,F,F7Vvar,2.1498096103893576,3.55,1,
150,GJ 4063,,26.3,3.03,-19.88,16.95,M,M3  p,0.0015317927158934159,11.42,1,
151,Tabit,Gl 178|1Pi 3Ori,26.32,7.87,24.91,3.19,F,F6V,3.003308878676558,3.19,1,Tabit
152,Gl 686,,26.37,-2.41,-24.88,8.41,M,M1,0.008083510373900676,9.62,1,
153,GJ 2034,,26.52,7.33,15.91,-19.91,A,DA8,0.0001037528415818,14.36,1,
154,GJ 1123,,26.52,-4.23,3.65,-25.92,M,m,0.0003311311214826,13.1,1,
155,GJ 1289,,26.52,21.25,-1.57,15.79,K,k,0.0005395106225151,12.57,1,
156,Gl 493.1,,26.56,-25.51,-6.9,2.63,M,dM5  e,0.0002521157630807,13.4,1,
157,p Eridani,p Eridani|Gl 66,26.57,13.41,6.24,-22.08,K,K2 V,0.5414222385429072,5.76,2,p_Eridani
158,Gl 747 A and B,Gl 747,26.6,6.53,-21.45,14.31,M,M3.5 J,0.0018380678163369352,11.86,2,
159,Gl 518,,26.69,-24.31,-10.89,1.71,D,DZ9,0.0000805378441199,14.65,1,
160,Gl 54,,26.73,9.77,3.1,-24.68,K,K,0.007027486176561337,9.8,1,
161,GJ 1151,,26.78,-17.77,0.7,20.01,M,m,0.0002943065989699,13.25,1,
162,Gl 884,,26.8,23.92,-6.38,-10.27,K,K5/M0V,0.04145720317867258,7.88,1,
163,Gl 48,,26.86,8.13,2.28,25.5,M,M3.5e,0.006020048636844589,9.98,1,
164,GJ 1227,,26.89,1.23,-12.54,23.75,M,m,0.0002560943517157,13.41,1,
165,Gl 831 A and B,Gl 831,27.06,21.25,-16.11,-4.6,M,M4e...,0.0010475991826028,11.96,2,
166,Gl 695 A and B and C,Gl 695|86Mu  Her,27.11,-1.42,-23.95,12.61,G,G5IV,2.584898636310704,3.42,3,
167,Gl 232,,27.18,-2.68,24.79,10.81,M,M4.5,0.0003610771451004,13.06,1,
168,Gl 618 A and B,Gl 618,27.21,-9.12,-19.56,-16.58,M,M4,0.003757535060126329,10.56,2,
169,Gar,Gl 486,27.3,-26.32,-5.59,4.62,M,M4,0.0016966802323464623,11.39,1,Gar
170,Gl 438,,27.41,-16.89,1.23,-21.55,K,K0,0.004413671434634396,10.36,1,
171,Chara,Gl 475|8Bet CVn,27.53,-20.44,-3.03,18.19,G,G0V,1.2496833972112191,4.24,1,Chara
172,GJ 3146,,27.59,22.2,15.05,6.49,M,m,0.0000301161880308,15.79,1,
173,GJ 1154A,,27.59,-27.54,-1.72,0.3,M,m,0.0002008167804184,13.73,1,
174,GJ 1057,,27.62,18.29,20.56,2.3,M,m,0.0001886253245351,13.8,1,
175,GJ 3076,,27.64,25.36,8.17,7.36,M,m,0.0001128236121649,14.36,1,
176,HIP 18899,,27.9,13.15,23.5,-7.29,,,0.004369180633852877,10.41,1,
177,Gl 506,61    Vir,27.9,-24.95,-8.89,-8.77,G,G5V,0.8098414473257883,4.74,1,
178,GJ 3517,,27.92,-19.15,20.25,-1.7,M,m,0.0000019284127756,18.8,1,
179,Gl 185 A and B,Gl 185,27.97,6.48,25.25,-10.14,M,M0V,0.03438326155679161,8.31,2,
180,Gl 450,,28,-22.84,0.89,16.17,M,M1V,0.00800940030533287,9.76,1,
181,Gl 17,Zet Tuc,28.01,11.85,1.04,-25.36,F,F9V,1.3049684141302225,4.23,1,
182,GJ 1105,,28.1,-10.41,18.36,18.55,M,M4V,0.001006468066438325,12.02,1,
183,Gl 877,,28.1,6.78,-1.95,-27.2,K,K,0.004389347855347169,10.42,1,
184,Gl 222A,54Chi1Ori,28.26,0.65,26.5,9.79,G,G0V,1.1460405911366023,4.39,1,
185,HIP 31292,,28.31,-1.03,6.95,-27.43,,,0.0017914306484060245,11.41,1,
186,Gl 867 A and B,Gl 867,28.36,24.89,-9.21,-9.99,M,M0Vpe,0.017356683168004844,9.06,2,
187,GJ 3839,,28.36,-19.94,-13.58,14.91,M,m,0.0003791403441833,13.1,1,
188,Gl 183,,28.4,7.22,27.32,-2.85,K,K3V,0.21478304741305337,6.22,1,
189,Gl 250 A and B,Gl 250,28.41,-6.4,27.56,-2.56,K,K3V,0.1602402033583663,6.58,2,
190,Gl 745 A and B,Gl 745,28.55,7.71,-25.53,10.17,M,M2,0.0064217827604811754,10.76,2,
191,Gl 791.2,,28.56,17.12,-22.35,4.81,M,dM6  e,0.0004025316189742,13.05,1,
192,GJ 3667,,28.61,-26.92,3.63,8.98,D,DC8,0.000204173794467,13.79,1,
193,GJ 1103 A and B,GJ 1103,28.66,-13.45,25.32,0,M,m,0.00033490589628600004,13.5,2,
194,Gl 666 A and B,Gl 666,28.71,-3.5,-19.4,-20.87,M,M0V,0.460193478971167,5.47,2,
195,Gl 203,,28.74,3.94,28.05,4.81,M,M5,0.0006886522963443,12.48,1,
196,Gl 465,,28.87,-27.26,-2.97,-9.04,M,M4,0.002098939883623522,11.28,1,
197,Gl 433,,28.97,-24.28,2.61,-15.58,M,M2V,0.008188417919005117,9.81,1,
198,GJ 4247,,29.04,22.21,-12.66,13.77,,,0.001104587183988628,11.99,1,
199,Gl 318,,29.04,-15.8,18.57,-15.8,A,DA6,0.0012223624492787315,11.88,1,
200,Gl 785,,29.06,14.41,-21.51,-13.21,K,K3V,0.3531831697919567,5.73,1,
201,Gl 424,,29.09,-11.72,2.06,26.54,M,M1Vvar,0.013073744701631328,9.31,1,
202,HIP 94223,,29.09,5.91,-18.51,-21.64,,,0.005355499708401133,10.28,1,
203,Gl 216 A and B,Gl 216|13Gam Lep,29.12,1.82,26.85,-11.12,F,F7V,2.7919997469540667,3.59,2,
204,GJ 3128,,29.12,24.67,14.57,5.23,M,m,0.0000395913216728,15.61,1,
205,Gl 283 A and B,Gl 283,29.12,-11.78,25.17,-8.72,D,DZQ6,0.0004569028490117,13,2,
206,GJ 3707,,29.12,-28.09,-1.24,-7.57,M,m,0.0010413578615284342,12.06,1,
207,GJ 3820,,29.12,-23.77,-13.61,-9.88,K,K2 :,0.0004381269820225,13,1,
208,GJ 4360,,29.38,28.16,-1.78,-8.18,M,m,0.0001119953522385,14.5,1,
209,Gl 51,,29.41,13.12,3.72,26.06,M,M5,0.0002432204009074,13.66,1,
210,HIP 31293,,29.42,-1.07,7.22,-28.5,,,0.005133339643802892,10.35,1,
211,Gl 357,,29.43,-22.13,16.07,-10.86,K,K,0.003067608976917938,10.91,1,
212,Rana,Gl 150|23Del Eri,29.49,16.33,24.04,-5,K,K0IV,2.782274657675122,3.52,1,Rana
213,Groombridge 1830 A and B,Gl 451,29.65,-23.44,0.72,18.14,G,G8Vp,0.19578332651023928,6.42,2,Groombridge_1830
214,Gl 849,,29.67,26.21,-13.69,-2.4,M,M3,0.004938556196176077,10.41,1,
215,GJ 2066,,29.75,-16.65,24.65,0.68,,,0.006735967762229425,10.08,1,
216,Gl 502,43Bet Com,29.78,-25.04,-8.12,13.92,G,G0V,1.4750271017597587,4.23,1,
217,Gl 137,96Kap1Cet,29.81,19.19,22.74,1.75,G,G5Vvar,0.843334757764275,4.84,1,
218,Gl 84,,29.82,24.29,14.75,-9.02,M,M3,0.0061094202490557204,10.19,1,
219,GJ 3421,,29.9,-4.99,17.41,23.78,M,M4.5,0.0003502676269138,13.3,1,
220,GJ 3325,,30.03,7.01,27.79,-8.97,K,K:,0.0015289736466907106,11.71,1,
221,Gl 442 A and B,Gl 442,30.07,-22.83,1.34,-19.53,G,G3/G5V,0.8196706566208113,4.89,2,
222,Gl 827,Gam Pav,30.21,9.87,-7.82,-27.46,F,F6V,1.5459662193866741,4.21,1,
223,Gl 190,,30.24,6.39,28.01,-9.43,M,M5,0.005786287388179515,10.28,1,
224,GJ 3135,,30.25,22.31,13.65,-15.21,K,K:...,0.0010346655758424353,12.15,1,
225,Gl 176,,30.25,9.44,27.01,9.83,M,M2,0.00784151540528121,9.95,1,
226,GJ 3801,,30.26,-22.8,-10.96,16.61,M,M:,0.0011566447741656449,12.03,1,
227,GJ 3380,,30.26,-0.21,19.5,23.13,M,m,0.0001221237130165,14.47,1,
228,GJ 1253,,30.31,9.41,-12.7,25.87,M,M5,0.0001821377637105,14.04,1,
229,Gl 226,,30.57,-0.19,4.19,30.28,M,M3,0.0049158655915686154,10.48,1,
230,HD 39170,,30.67,1.25,30.63,-0.76,F,F0,0.013626991969948696,9.38,1,
231,HIP 14101,,30.72,20.65,20.99,-8.77,,,0.0053456435939697195,10.4,1,
232,Gl 358,,30.88,-19.06,13.37,-20.29,M,M:,0.00402161044334213,10.72,1,
233,Gl 694,,30.92,-1.57,-22.41,21.23,M,M3,0.004984252094042599,10.49,1,
234,GJ 3988,,31,-4.73,-18.75,24.23,K,k-m,0.0002964831389524,13.56,1,
235,GJ 3306,,31.03,10.76,28.72,-4.76,D,DQ7,0.0002447935666196,13.77,1,
236,GJ 1065,,31.09,16.53,26.13,-3.3,M,dM4,0.000605898671139,12.79,1,
237,Gl 432 A and B,Gl 432,31.18,-26.04,2.91,-16.9,K,K0V,0.3287794376141905,5.96,2,
238,Gl 633,,31.18,-7.34,-20.38,-22.44,M,M3,0.0006742174675762,12.68,1,
239,GJ 1207,,31.24,-8.44,-29.99,-2.37,M,dM3.5,0.000978137704323,12.28,1,
240,GJ 1001,,31.3,23.72,0.49,-20.41,M,M3.5,0.000586678266402,12.84,1,
241,Gl 434,61    UMa,31.35,-25.84,2.14,17.62,G,G8Vvar,0.6047835918818003,5.31,1,
242,GJ 3253,,31.36,15.81,25.48,9.18,M,M4.5,0.0002666858664521,13.7,1,
